iter	Passed	Remaining
0	0	888
1	1	874
2	2	792
3	3	747
4	3	729
5	4	713
6	4	699
7	5	683
8	6	680
9	6	671
10	7	666
11	7	656
12	8	651
13	9	648
14	9	642
15	10	641
16	11	637
17	11	635
18	12	633
19	12	636
20	13	636
21	14	633
22	14	634
23	15	633
24	16	633
25	17	642
26	17	640
27	18	638
28	18	635
29	19	633
30	20	631
31	20	630
32	21	629
33	22	627
34	22	624
35	23	622
36	23	620
37	24	619
38	25	618
39	25	616
40	26	615
41	26	613
42	27	611
43	28	610
44	28	610
45	29	610
46	30	610
47	30	609
48	31	610
49	32	613
50	32	612
51	33	610
52	34	609
53	34	608
54	35	606
55	35	605
56	36	604
57	37	603
58	37	601
59	38	600
60	38	599
61	39	598
62	40	597
63	40	597
64	41	596
65	42	596
66	42	596
67	43	595
68	44	594
69	44	593
70	45	593
71	45	592
72	46	592
73	47	592
74	48	592
75	48	592
76	49	592
77	50	592
78	50	594
79	51	595
80	52	594
81	53	593
82	53	588
83	53	587
84	54	587
85	55	587
86	55	586
87	56	586
88	57	585
89	57	585
90	58	585
91	59	585
92	60	586
93	60	586
94	61	585
95	62	585
96	62	585
97	63	587
98	64	587
99	65	586
100	65	586
101	66	584
102	67	583
103	67	583
104	68	582
105	69	582
106	69	583
107	70	582
108	71	581
109	71	580
110	72	579
111	72	578
112	73	577
113	74	576
114	74	576
115	75	576
116	76	574
117	76	574
118	77	574
119	78	573
120	78	573
121	79	570
122	79	569
123	80	568
124	80	566
125	81	565
126	81	562
127	82	561
128	83	560
129	83	559
130	84	558
131	84	557
132	85	556
133	85	555
134	86	553
135	86	552
136	87	551
137	88	549
138	88	548
139	89	547
140	89	546
141	89	543
142	90	543
143	91	542
144	91	542
145	92	541
146	93	541
147	94	541
148	94	540
149	95	539
150	95	538
151	96	537
152	96	536
153	97	535
154	98	534
155	98	533
156	99	532
157	99	531
158	100	530
159	100	529
160	101	526
161	101	525
162	102	524
163	102	523
164	103	522
165	103	521
166	104	520
167	104	519
168	105	518
169	106	517
170	106	516
171	107	516
172	108	516
173	108	516
174	109	516
175	110	515
176	110	514
177	111	513
178	111	512
179	112	511
180	112	510
181	113	509
182	113	508
183	114	507
184	114	505
185	115	505
186	115	504
187	116	503
188	117	502
189	117	501
190	118	500
191	118	499
192	119	498
193	119	497
194	120	496
195	120	496
196	121	495
197	123	499
198	124	499
199	124	498
200	125	497
201	125	496
202	126	495
203	126	494
204	127	493
205	127	492
206	128	491
207	128	490
208	129	489
209	129	488
210	130	488
211	131	487
212	131	486
213	132	485
214	132	484
215	133	483
216	133	482
217	134	481
218	134	480
219	135	479
220	135	478
221	136	478
222	137	480
223	138	480
224	139	479
